"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_Income","Earned_per_share","BookValue","BookValue_per_share","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends","Company_name"
2015-12-30,1.72,6118550,10523906,138280000,-6426000,-1.05024883346545,50726000,8.29052635019735,5.33149193844947,32621000,-18695000,-3.05546248702715,78953000,51772000,38608000,27217000,-6380000,2507000,0,"DROZAPOL"
2016-12-30,1.88,6118550,11502874,99211000,-6559000,-1.072,44150000,7.21576190437277,0.786460844481127,4812000,-17354000,-2.83629291253647,67551000,45212000,9871000,22361000,-6466000,1941000,0,"DROZAPOL"
2017-12-29,1.94,6118550,11869987,126028000,321000,0.05,39994000,6.53651600460894,1.60822417075941,9840000,-20848000,-3.40734324308864,83075000,54244000,15961000,28843000,1101000,1987000,0,"DROZAPOL"
2018-12-28,1.4,6118550,8565970,153724000,220000,0.04,39810000,6.50644352011506,1.54284920446838,9440000,-26887000,-4.39434179666751,92276000,54280000,16920000,38012000,408000,1822000,306000,"DROZAPOL"
2019-12-30,1.23,6118550,7525816.5,123437000,-4416000,-0.72,47243000,7.72127383121818,0.932083581894403,5703000,-16978000,-2.7748404442229,84119000,60201000,13182000,23971000,-4248000,980000,184000,"DROZAPOL"
2020-12-30,1.93,6118550,11808801.5,115414000,2959000,0.48,44593000,7.28816467954009,1.49103954368274,9123000,-23666000,-3.86790988060897,89161000,63123000,18475000,26060000,2156000,1383000,0,"DROZAPOL"
2021-12-30,5.9,6118550,36099445,157771000,21534000,3.52,64291000,10.507554894542,4.28418497846712,26213000,-29829000,-4.87517467373806,117011000,82822000,34205000,34203000,27506000,933000,1835000,"DROZAPOL"
2015-12-30,94,6676854,627624276,377137000,33490000,5.0158353020749,366142000,54.8375028119531,1.46251513062889,9765000,-151551000,-22.6979652393178,356826000,365693000,162326000,172908000,38420000,2355000,0,"MANGATA"
2016-12-30,105,6676854,701069670,568251000,45007000,6.74074946074903,410222000,61.4394144308083,3.36296105920543,22454000,-165862000,-24.8413399484248,388604000,409386000,118597000,212413000,56459000,3513000,0,"MANGATA"
2017-12-30,100.55,6676854,671357669.7,617482000,41078000,6.15229867239871,419452000,62.8218020043571,-0.0262099485775786,-175000,-229553000,-34.3804132904509,420958000,418121000,111396000,275275000,55868000,9142000,34719640.8,"MANGATA"
2018-12-30,58,6676854,387257532,702823000,56777000,8.5035557165096,405967000,60.8021382525363,-5.6511644555954,-37732000,-275550000,-41.2694361745816,444768000,404898000,102760000,317953000,63281000,3775000,60091686,"MANGATA"
2019-12-30,73,6676854,487410342,675759000,50537000,7.56898383580051,419241000,62.7902002949293,-8.66845373584625,-57878000,-275125000,-41.2057834423218,477584000,418776000,91811000,314273000,64518000,5133000,30045843,"MANGATA"
2020-12-30,63.5,6676854,423980229,566137000,34543000,5.17354430694456,443332000,66.3983367016861,-5.75345814061533,-38415000,-251090000,-37.6060342191098,484829000,440250000,101104000,290730000,39978000,4457000,0,"MANGATA"
2021-12-30,79,6676854,527471466,791022000,71625000,10.7273575249661,490064000,73.3974413698427,0.911057812556632,6083000,-328209000,-49.1562343582771,490171000,483874000,122678000,371967000,91903000,4459000,30045843,"MANGATA"
2015-12-30,1.72,69851487,120144557.64,1364804000,-13373000,-0.191449038157198,172388000,2.46792169220392,-3.32723052839233,-232412000,-501535000,-7.18001894505123,846311000,168691000,199641000,677620000,13147000,57009000,5286000,"COGNOR"
2016-12-30,1.88,75265868,141499831.84,1377352000,4083000,0.0542476969773337,163435000,2.17143579610349,-3.55267277326822,-267395000,-581539000,-7.72646374050984,908409000,160300000,145272000,748109000,59395000,68412000,5278000,"COGNOR"
2017-12-29,1.94,118615660,230114380.4,1789280000,49870000,0.420433524544735,245196000,2.06714695176,-1.26384661182174,-149912000,-460297000,-3.88057529671883,950689000,241834000,232164000,708855000,99210000,53339000,4280000,"COGNOR"
2018-12-28,1.4,120417142,168583998.8,2081841000,72078000,0.598569263502367,300279000,2.49365659251405,-0.619704128171386,-74623000,-400820000,-3.32859585722438,1001378000,295885000,176174000,705493000,156208000,67230000,16007000,"COGNOR"
2019-12-30,1.23,171420663,210847415.49,1901604000,19782000,0.115400323705433,277417000,1.61834049142605,-1.22275807555359,-209606000,-496897000,-2.89869955759067,1051731000,277191000,69858000,774540000,54592000,31731000,3917000,"COGNOR"
2020-12-30,1.93,123940417,239205004.81,1733221000,33592000,0.271033459569528,307039000,2.47731133581711,-1.67382041323937,-207454000,-417121000,-3.3654961803138,1031199000,307014000,36933000,724185000,66527000,34317000,38323000,"COGNOR"
2021-12-30,5.9,123940417,731248460.3,2811151000,363514000,2.93297383370914,645669000,5.20951127669677,0.669458777115459,82973000,-213834000,-1.7252967609428,1505172000,643869000,349004000,861303000,467754000,39756000,25713000,"COGNOR"
